Você é autônomo?,Quantos funcionários sua empresa ou organização possui?,Seu empregador é principalmente uma empresa/organização de tecnologia?,O seu papel principal na sua empresa está relacionado à tecnologia/TI?,O seu empregador oferece benefícios de saúde mental como parte da cobertura de saúde?,Você conhece as opções de cuidados de saúde mental disponíveis sob sua cobertura de saúde fornecida pelo empregador?,"Seu empregador já discutiu formalmente a saúde mental (por exemplo, como parte de uma campanha de bem -estar ou outra comunicação oficial)?",O seu empregador oferece recursos para aprender mais sobre distúrbios de saúde mental e opções para procurar ajuda?,O seu anonimato está protegido se você optar por aproveitar os recursos de tratamento de saúde mental ou abuso de substâncias fornecidos pelo seu empregador?,"Se um problema de saúde mental o levou a solicitar uma licença médica do trabalho, quão fácil ou difícil seria pedir essa licença?",Você se sentiria mais confortável conversando com seus colegas de trabalho sobre sua saúde física ou sua saúde mental?,Você se sentiria à vontade para discutir um problema de saúde mental com seu (s) supervisor (s) direto (s)?,Você já discutiu sua saúde mental com seu empregador?,Você se sentiria à vontade para discutir um problema de saúde mental com seus colegas de trabalho?,Você já discutiu sua saúde mental com colegas de trabalho?,Você já teve um colega de trabalho discutir a saúde mental de seu ou outro colega de trabalho com você?,"No geral, quanta importância seu empregador coloca na saúde física?","No geral, quanta importância seu empregador coloca na saúde mental?",Você estaria disposto a discutir sua saúde mental com seu (s) supervisor (s) direto (s)?,Você atualmente tem um distúrbio de saúde mental?,Você já teve um distúrbio de saúde mental no passado?,Você já procurou tratamento para um distúrbio de saúde mental de um profissional de saúde mental?,Você tem um histórico familiar de doença mental?,"Se você tem um distúrbio de saúde mental, com que frequência sente que isso interfere no seu trabalho ao ser tratado de maneira eficaz?","Se você tem um distúrbio de saúde mental, com que frequência sente que isso interfere no seu trabalho quando não é tratado de maneira eficaz (ou seja, quando você está experimentando sintomas)?",Suas observações de como outro indivíduo que discutiu um problema de saúde mental tornou a probabilidade de você revelar um problema de saúde mental no seu local de trabalho atual?,Quão disposto você estaria em compartilhar com amigos e familiares que você tem uma doença mental?,Você estaria disposto a apresentar um problema de saúde física com um empregador em potencial em uma entrevista?,Você traria sua saúde mental com um empregador em potencial em uma entrevista?,Você é identificado abertamente no trabalho como uma pessoa com um problema de saúde mental?,"No geral, como você acha que o setor de tecnologia apoia funcionários com problemas de saúde mental?",Qual é a sua idade?,Qual é o seu gênero?
0,26-100,1.0,1.0,I don't know,No,No,I don't know,I don't know,Very easy,Physical health,Maybe,0.0,No,0.0,0.0,1.0,1.0,Some of my previous supervisors,Possibly,Possibly,0,I don't know,Not applicable to me,Not applicable to me,No,2,Yes,No,0,2.0,28,Female
0,500-1000,1.0,1.0,Yes,No,Yes,Yes,Yes,I don't know,Physical health,No,0.0,Maybe,0.0,1.0,9.0,9.0,"No, none of my previous supervisors",No,No,0,No,Not applicable to me,Not applicable to me,Yes,10,Maybe,No,0,3.0,41,male
0,100-500,1.0,1.0,Yes,Yes,No,I don't know,I don't know,Somewhat easy,Same level of comfort for each,Maybe,0.0,Yes,1.0,1.0,5.0,5.0,"No, none of my previous supervisors",No,No,0,No,Not applicable to me,Not applicable to me,,5,Maybe,Maybe,0,3.0,35,Male
1,,,,,,,,,,,,,,,,,,,Don't Know,Don't Know,0,Yes,Sometimes,Sometimes,,1,No,Maybe,0,2.0,20,male
0,More than 1000,0.0,1.0,Yes,No,Yes,Yes,I don't know,Difficult,Physical health,No,0.0,Maybe,0.0,0.0,10.0,10.0,Some of my previous supervisors,No,Yes,1,No,Rarely,Often,Maybe,8,No,No,0,3.0,35,female
0,6-25,1.0,1.0,No,No,No,No,No,Difficult,Same level of comfort for each,No,0.0,No,0.0,0.0,1.0,1.0,"No, none of my previous supervisors",No,No,0,No,Not applicable to me,Not applicable to me,Yes,5,No,No,0,1.0,30,Female
0,More than 1000,1.0,1.0,No,Yes,Yes,Yes,Yes,Somewhat easy,Physical health,Yes,1.0,No,0.0,0.0,9.0,5.0,,Yes,,0,No,Sometimes,Often,No,8,No,No,0,5.0,34,female
0,More than 1000,0.0,1.0,Yes,Yes,No,No,I don't know,Very easy,Physical health,Maybe,0.0,No,0.0,0.0,6.0,6.0,,Don't Know,Don't Know,0,I don't know,Not applicable to me,Sometimes,Maybe,4,No,No,0,3.0,23,female
0,More than 1000,1.0,1.0,No,No,Yes,No,No,Somewhat difficult,Same level of comfort for each,No,0.0,Maybe,0.0,1.0,8.0,6.0,,No,No,0,No,Not applicable to me,Often,Maybe,4,No,No,0,2.0,19,Female
1,,,,,,,,,,,,,,,,,,I don't know,Yes,,1,Yes,Sometimes,Sometimes,No,3,Maybe,Maybe,0,2.0,34,f
0,More than 1000,0.0,0.0,Yes,No,Yes,Yes,Yes,Very easy,Physical health,Maybe,0.0,Maybe,0.0,1.0,6.0,6.0,,No,No,1,No,Often,Sometimes,Maybe,5,Maybe,No,0,3.0,25,Male
0,26-100,1.0,1.0,No,,No,No,I don't know,Neither easy nor difficult,Same level of comfort for each,No,0.0,No,0.0,1.0,8.0,5.0,"No, none of my previous supervisors",No,No,0,No,Sometimes,Sometimes,Yes,2,No,No,0,2.0,29,Male
0,26-100,0.0,0.0,No,No,No,No,No,Somewhat difficult,Physical health,No,0.0,Yes,0.0,0.0,2.0,2.0,,No,No,0,No,Not applicable to me,Not applicable to me,Yes,8,No,No,0,2.0,40,F
0,100-500,1.0,0.0,No,Yes,No,No,I don't know,Very easy,Same level of comfort for each,Yes,0.0,Yes,1.0,1.0,8.0,3.0,,No,No,0,No,Not applicable to me,Not applicable to me,No,10,Maybe,Maybe,0,2.0,26,female
0,100-500,1.0,1.0,No,No,No,No,I don't know,Somewhat difficult,Physical health,No,0.0,No,0.0,0.0,5.0,0.0,"No, none of my previous supervisors",Possibly,No,0,Yes,Not applicable to me,Not applicable to me,Maybe,7,Maybe,No,0,1.0,25,Male
0,26-100,1.0,1.0,Yes,,I don't know,I don't know,Yes,Very easy,Physical health,No,0.0,Maybe,0.0,1.0,10.0,7.0,"No, none of my previous supervisors",No,No,0,No,Not applicable to me,Not applicable to me,No,6,No,No,0,3.0,24,Female
0,100-500,0.0,1.0,I don't know,No,No,Yes,Yes,Somewhat easy,Physical health,No,0.0,Maybe,0.0,1.0,5.0,5.0,,Don't Know,No,0,No,Not applicable to me,Rarely,Maybe,10,Maybe,Yes,1,5.0,25,f
0,26-100,1.0,1.0,No,No,No,No,No,Somewhat easy,Same level of comfort for each,Maybe,0.0,Maybe,0.0,0.0,7.0,5.0,,No,No,0,No,Not applicable to me,Not applicable to me,No,9,Yes,Yes,1,3.0,22,Male
0,26-100,1.0,1.0,I don't know,No,I don't know,I don't know,I don't know,Neither easy nor difficult,Physical health,Maybe,0.0,No,0.0,0.0,5.0,5.0,"No, none of my previous supervisors",No,Don't Know,0,No,Sometimes,Often,No,2,Maybe,No,0,3.0,27,male
0,6-25,0.0,1.0,I don't know,No,I don't know,Yes,I don't know,Somewhat easy,Physical health,Yes,1.0,Yes,1.0,1.0,8.0,6.0,I don't know,No,No,0,No,Not applicable to me,Not applicable to me,Maybe,8,Maybe,Maybe,0,3.0,25,female
0,500-1000,1.0,1.0,Not eligible for coverage / NA,No,No,I don't know,I don't know,Difficult,Same level of comfort for each,No,0.0,Maybe,1.0,1.0,8.0,3.0,"No, none of my previous supervisors",Possibly,Possibly,0,No,Sometimes,Often,Maybe,2,Maybe,No,0,1.0,25,Female
0,1-5,1.0,1.0,No,No,Yes,No,Yes,Somewhat easy,Same level of comfort for each,Yes,0.0,No,0.0,0.0,2.0,6.0,,No,Possibly,0,No,Rarely,Often,Maybe,4,Yes,Yes,0,3.0,23,Male
0,More than 1000,0.0,1.0,I don't know,No,No,No,I don't know,I don't know,Same level of comfort for each,Yes,1.0,Yes,1.0,1.0,8.0,8.0,,Don't Know,No,0,No,Not applicable to me,Not applicable to me,,8,Yes,Yes,0,2.0,27,Female
0,More than 1000,0.0,1.0,I don't know,No,No,Yes,Yes,Difficult,Mental health,Yes,0.0,Maybe,0.0,1.0,10.0,10.0,Some of my previous supervisors,Yes,Yes,1,Yes,Sometimes,Often,No,2,Maybe,No,0,3.0,33,Male
0,More than 1000,1.0,1.0,Yes,No,No,No,Yes,Somewhat difficult,Physical health,No,0.0,Maybe,0.0,0.0,6.0,5.0,,Possibly,Don't Know,0,No,Rarely,Sometimes,No,5,No,No,0,4.0,22,Male
0,26-100,1.0,1.0,Yes,No,No,Yes,Yes,Very easy,Physical health,Yes,1.0,Yes,1.0,1.0,7.0,3.0,,No,Yes,1,Yes,Often,Often,Yes,0,Yes,Yes,1,3.0,45,woman
0,More than 1000,1.0,1.0,I don't know,No,No,No,I don't know,Very easy,Physical health,Yes,0.0,Yes,1.0,1.0,5.0,5.0,Some of my previous supervisors,No,Possibly,0,No,Sometimes,Sometimes,No,10,Yes,Yes,0,3.0,25,Female
0,More than 1000,1.0,1.0,I don't know,No,Yes,Yes,Yes,Somewhat difficult,Physical health,No,0.0,No,0.0,0.0,9.0,6.0,,Possibly,Yes,1,No,Rarely,Often,Maybe,5,No,No,0,3.0,22,Female
0,500-1000,0.0,1.0,Yes,Yes,Yes,Yes,Yes,Somewhat difficult,Physical health,No,0.0,Maybe,1.0,1.0,5.0,5.0,Some of my previous supervisors,Possibly,Possibly,1,Yes,Never,Often,Yes,2,No,No,0,1.0,36,Female
0,100-500,1.0,1.0,Yes,Yes,No,No,I don't know,Very easy,Mental health,Yes,0.0,Yes,1.0,1.0,8.0,9.0,"No, none of my previous supervisors",Yes,Yes,1,Yes,Rarely,Often,Yes,10,No,No,0,1.0,42,afab non-binary
1,,,,,,,,,,,,,,,,,,"No, none of my previous supervisors",No,No,0,No,Not applicable to me,Not applicable to me,No,5,No,No,0,4.0,39,Male
0,100-500,0.0,1.0,Yes,Yes,No,No,Yes,Difficult,Physical health,No,0.0,No,0.0,0.0,6.0,1.0,Some of my previous supervisors,Yes,Yes,1,Yes,Rarely,Often,Yes,4,No,No,0,2.0,51,Female
0,More than 1000,0.0,1.0,Yes,Yes,Yes,Yes,Yes,Very easy,Physical health,Maybe,0.0,Yes,0.0,0.0,8.0,8.0,Some of my previous supervisors,Yes,Yes,1,Yes,Never,Often,No,10,No,No,0,4.0,27,Female
0,100-500,0.0,0.0,I don't know,No,No,I don't know,I don't know,I don't know,Physical health,Maybe,0.0,Yes,0.0,0.0,7.0,4.0,,Don't Know,No,0,No,Not applicable to me,Not applicable to me,,7,Maybe,Maybe,0,4.0,19,Male
1,,,,,,,,,,,,,,,,,,,Yes,Don't Know,0,No,Not applicable to me,Not applicable to me,,4,Maybe,No,0,4.0,11,male
0,6-25,0.0,1.0,Yes,Yes,I don't know,Yes,Yes,Neither easy nor difficult,Same level of comfort for each,Yes,0.0,Yes,1.0,0.0,7.0,8.0,,No,No,0,No,Not applicable to me,Not applicable to me,No,8,Yes,Yes,0,4.0,25,male
0,More than 1000,0.0,1.0,Yes,Yes,Yes,Yes,I don't know,Neither easy nor difficult,Physical health,Yes,1.0,Maybe,1.0,0.0,5.0,4.0,"No, none of my previous supervisors",Yes,Don't Know,1,Yes,Sometimes,Often,Yes,5,Maybe,Maybe,0,4.0,39,male
0,1-5,1.0,1.0,No,No,No,No,Yes,Somewhat difficult,Physical health,No,0.0,No,1.0,1.0,6.0,7.0,"No, none of my previous supervisors",No,No,1,No,Not applicable to me,Not applicable to me,Yes,4,No,No,0,4.0,47,MALE
0,1-5,0.0,1.0,Yes,Yes,Yes,Yes,Yes,Very easy,Physical health,Yes,1.0,Yes,,,2.0,1.0,"Yes, all of my previous supervisors",Yes,Yes,1,Yes,Never,Never,,1,Yes,Yes,0,1.0,223,
0,More than 1000,0.0,1.0,Yes,Yes,Yes,Yes,I don't know,Somewhat difficult,Physical health,No,0.0,No,0.0,0.0,7.0,5.0,"No, none of my previous supervisors",Possibly,Possibly,1,I don't know,Not applicable to me,Often,Maybe,4,No,No,0,3.0,36,Female
0,26-100,1.0,1.0,I don't know,No,No,No,I don't know,Somewhat difficult,Physical health,No,0.0,Maybe,0.0,0.0,8.0,4.0,"No, none of my previous supervisors",No,No,0,I don't know,Not applicable to me,Not applicable to me,Maybe,3,Yes,Maybe,0,3.0,57,Masculine
0,100-500,1.0,1.0,No,No,I don't know,No,I don't know,Very easy,Physical health,No,0.0,Maybe,0.0,0.0,7.0,4.0,Some of my previous supervisors,Possibly,Possibly,1,I don't know,Rarely,Often,No,1,Maybe,No,0,3.0,34,male
0,More than 1000,1.0,1.0,No,No,No,I don't know,I don't know,Somewhat easy,Same level of comfort for each,Yes,0.0,Yes,1.0,1.0,5.0,5.0,,Possibly,Yes,1,Yes,Sometimes,Often,Maybe,7,Yes,Yes,0,3.0,26,Male
0,6-25,0.0,0.0,Yes,Yes,No,No,Yes,Somewhat easy,Same level of comfort for each,Maybe,1.0,No,0.0,0.0,4.0,7.0,"Yes, all of my previous supervisors",Yes,Yes,1,Yes,Sometimes,Often,No,5,No,No,1,3.0,24,Female
0,500-1000,0.0,1.0,Yes,Yes,Yes,Yes,Yes,I don't know,Physical health,Yes,1.0,Maybe,1.0,1.0,7.0,6.0,Some of my previous supervisors,Possibly,Possibly,1,I don't know,Sometimes,Often,No,5,Yes,No,0,2.0,26,Female (cis)
0,100-500,1.0,1.0,I don't know,,No,I don't know,I don't know,I don't know,Same level of comfort for each,Maybe,0.0,Maybe,0.0,0.0,5.0,5.0,,Don't Know,Don't Know,0,I don't know,Not applicable to me,Not applicable to me,No,5,Maybe,Maybe,0,1.0,21,b
1,,,,,,,,,,,,,,,,,,"No, none of my previous supervisors",No,No,0,No,Not applicable to me,Sometimes,Maybe,6,No,No,0,2.0,32,Female
0,500-1000,0.0,1.0,No,No,Yes,I don't know,I don't know,Very easy,Physical health,No,1.0,Maybe,0.0,0.0,9.0,9.0,"No, none of my previous supervisors",Yes,Don't Know,1,I don't know,Never,Rarely,,6,No,No,0,3.0,25,female
0,100-500,0.0,1.0,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Same level of comfort for each,Yes,1.0,Maybe,1.0,1.0,10.0,10.0,,No,No,1,No,Never,Not applicable to me,,5,Maybe,Maybe,1,4.0,31,Male
0,More than 1000,0.0,1.0,Yes,Yes,Yes,Yes,Yes,Very easy,Same level of comfort for each,Yes,1.0,Yes,0.0,0.0,9.0,9.0,I don't know,No,No,0,No,Not applicable to me,Not applicable to me,Maybe,7,No,No,0,4.0,28,Male
0,More than 1000,1.0,1.0,I don't know,Yes,No,Yes,Yes,I don't know,Physical health,Maybe,0.0,Maybe,0.0,0.0,8.0,7.0,"No, none of my previous supervisors",No,Yes,1,Yes,Sometimes,Often,,6,No,No,0,3.0,27,Female
