Você é autônomo?,Quantos funcionários sua empresa ou organização possui?,Seu empregador é principalmente uma empresa/organização de tecnologia?,O seu papel principal na sua empresa está relacionado à tecnologia/TI?,O seu empregador oferece benefícios de saúde mental como parte da cobertura de saúde?,Você conhece as opções de cuidados de saúde mental disponíveis sob sua cobertura de saúde fornecida pelo empregador?,"Seu empregador já discutiu formalmente a saúde mental (por exemplo, como parte de uma campanha de bem -estar ou outra comunicação oficial)?",O seu empregador oferece recursos para aprender mais sobre distúrbios de saúde mental e opções para procurar ajuda?,O seu anonimato está protegido se você optar por aproveitar os recursos de tratamento de saúde mental ou abuso de substâncias fornecidos pelo seu empregador?,"Se um problema de saúde mental o levou a solicitar uma licença médica do trabalho, quão fácil ou difícil seria pedir essa licença?",Você se sentiria mais confortável conversando com seus colegas de trabalho sobre sua saúde física ou sua saúde mental?,Você se sentiria à vontade para discutir um problema de saúde mental com seu (s) supervisor (s) direto (s)?,Você já discutiu sua saúde mental com seu empregador?,Você se sentiria à vontade para discutir um problema de saúde mental com seus colegas de trabalho?,Você já discutiu sua saúde mental com colegas de trabalho?,Você já teve um colega de trabalho discutir a saúde mental de seu ou outro colega de trabalho com você?,"No geral, quanta importância seu empregador coloca na saúde física?","No geral, quanta importância seu empregador coloca na saúde mental?",Você estaria disposto a discutir sua saúde mental com seu (s) supervisor (s) direto (s)?,Você atualmente tem um distúrbio de saúde mental?,Você já teve um distúrbio de saúde mental no passado?,Você já procurou tratamento para um distúrbio de saúde mental de um profissional de saúde mental?,Você tem um histórico familiar de doença mental?,"Se você tem um distúrbio de saúde mental, com que frequência sente que isso interfere no seu trabalho ao ser tratado de maneira eficaz?","Se você tem um distúrbio de saúde mental, com que frequência sente que isso interfere no seu trabalho quando não é tratado de maneira eficaz (ou seja, quando você está experimentando sintomas)?",Suas observações de como outro indivíduo que discutiu um problema de saúde mental tornou a probabilidade de você revelar um problema de saúde mental no seu local de trabalho atual?,Quão disposto você estaria em compartilhar com amigos e familiares que você tem uma doença mental?,Você estaria disposto a apresentar um problema de saúde física com um empregador em potencial em uma entrevista?,Você traria sua saúde mental com um empregador em potencial em uma entrevista?,Você é identificado abertamente no trabalho como uma pessoa com um problema de saúde mental?,"No geral, como você acha que o setor de tecnologia apoia funcionários com problemas de saúde mental?",Qual é a sua idade?,Qual é o seu gênero?
1,,,,,,,,,,,,,,,,,,"No, none of my previous supervisors",Don't Know,Don't Know,0,Yes,Not applicable to me,Sometimes,,5,Maybe,Maybe,0,2,45,Male
1,,,,,,,,,,,,,,,,,,"Yes, all of my previous supervisors",Yes,Yes,1,Yes,Never,Never,Yes,10,Yes,Yes,1,5,24,female
1,,,,,,,,,,,,,,,,,,,Yes,,0,Yes,Often,Often,No,5,Maybe,No,0,1,46,Male
1,,,,,,,,,,,,,,,,,,,Yes,,0,Yes,Often,Sometimes,Yes,1,Yes,No,0,1,25,Female
1,,,,,,,,,,,,,,,,,,,Don't Know,No,0,I don't know,Rarely,Often,Yes,5,Yes,No,0,3,25,F
1,,,,,,,,,,,,,,,,,,,No,No,1,No,Rarely,Rarely,Maybe,1,Maybe,Maybe,1,1,5,f
1,,,,,,,,,,,,,,,,,,"Yes, all of my previous supervisors",Yes,Yes,1,Yes,Never,Never,Yes,0,Yes,Yes,1,1,1,
1,,,,,,,,,,,,,,,,,,Some of my previous supervisors,Possibly,Possibly,1,Yes,Sometimes,Often,Yes,9,Yes,No,0,2,35,Male
1,,,,,,,,,,,,,,,,,,,No,No,0,No,Often,Sometimes,Maybe,6,Maybe,No,0,4,34,female
1,,,,,,,,,,,,,,,,,,,No,No,0,No,Rarely,Often,No,8,No,No,1,2,23,Female
1,,,,,,,,,,,,,,,,,,"No, none of my previous supervisors",Yes,Yes,1,Yes,Rarely,Often,No,3,Maybe,No,0,3,42,female
1,,,,,,,,,,,,,,,,,,"No, none of my previous supervisors",Yes,Possibly,1,Yes,Sometimes,Often,Yes,3,Maybe,No,0,2,54,male
1,,,,,,,,,,,,,,,,,,I don't know,No,No,0,Yes,Not applicable to me,Not applicable to me,No,8,Maybe,No,0,2,40,Female
1,,,,,,,,,,,,,,,,,,Some of my previous supervisors,Yes,Yes,1,Yes,Sometimes,Often,Maybe,7,Maybe,No,1,1,36,Female
1,,,,,,,,,,,,,,,,,,Some of my previous supervisors,Yes,Yes,1,I don't know,Rarely,Sometimes,Maybe,10,Yes,Maybe,1,5,30,male
1,,,,,,,,,,,,,,,,,,Some of my previous supervisors,Yes,Yes,0,Yes,Never,Rarely,Maybe,2,Yes,Maybe,0,2,22,male
