Você é autônomo?,Quantos funcionários sua empresa ou organização possui?,Seu empregador é principalmente uma empresa/organização de tecnologia?,O seu papel principal na sua empresa está relacionado à tecnologia/TI?,O seu empregador oferece benefícios de saúde mental como parte da cobertura de saúde?,Você conhece as opções de cuidados de saúde mental disponíveis sob sua cobertura de saúde fornecida pelo empregador?,"Seu empregador já discutiu formalmente a saúde mental (por exemplo, como parte de uma campanha de bem -estar ou outra comunicação oficial)?",O seu empregador oferece recursos para aprender mais sobre distúrbios de saúde mental e opções para procurar ajuda?,O seu anonimato está protegido se você optar por aproveitar os recursos de tratamento de saúde mental ou abuso de substâncias fornecidos pelo seu empregador?,"Se um problema de saúde mental o levou a solicitar uma licença médica do trabalho, quão fácil ou difícil seria pedir essa licença?",Você se sentiria mais confortável conversando com seus colegas de trabalho sobre sua saúde física ou sua saúde mental?,Você se sentiria à vontade para discutir um problema de saúde mental com seu (s) supervisor (s) direto (s)?,Você já discutiu sua saúde mental com seu empregador?,Você se sentiria à vontade para discutir um problema de saúde mental com seus colegas de trabalho?,Você já discutiu sua saúde mental com colegas de trabalho?,Você já teve um colega de trabalho discutir a saúde mental de seu ou outro colega de trabalho com você?,"No geral, quanta importância seu empregador coloca na saúde física?","No geral, quanta importância seu empregador coloca na saúde mental?",Você estaria disposto a discutir sua saúde mental com seu (s) supervisor (s) direto (s)?,Você atualmente tem um distúrbio de saúde mental?,Você já teve um distúrbio de saúde mental no passado?,Você já procurou tratamento para um distúrbio de saúde mental de um profissional de saúde mental?,Você tem um histórico familiar de doença mental?,"Se você tem um distúrbio de saúde mental, com que frequência sente que isso interfere no seu trabalho ao ser tratado de maneira eficaz?","Se você tem um distúrbio de saúde mental, com que frequência sente que isso interfere no seu trabalho quando não é tratado de maneira eficaz (ou seja, quando está experimentando sintomas)?",Suas observações de como outro indivíduo que discutiu um problema de saúde mental tornou a probabilidade de você revelar um problema de saúde mental no seu local de trabalho atual?,Quão disposto você estaria em compartilhar com amigos e familiares que você tem uma doença mental?,Você estaria disposto a apresentar um problema de saúde física com um empregador em potencial em uma entrevista?,Você traria sua saúde mental com um empregador em potencial em uma entrevista?,Você é identificado abertamente no trabalho como uma pessoa com um problema de saúde mental?,"No geral, como você acha que o setor de tecnologia apoia funcionários com problemas de saúde mental?",Qual é a sua idade?,Qual é o seu gênero?
0,More than 1000,1.0,0.0,Yes,Yes,Yes,Yes,Yes,Somewhat difficult,Physical health,No,1.0,No,1.0,1.0,8.0,6.0,"No, none of my previous supervisors",Possibly,Yes,1,Yes,Rarely,Sometimes,Yes,3,No,No,0,2,57,Female
0,More than 1000,1.0,1.0,Yes,Yes,No,I don't know,I don't know,Somewhat difficult,Physical health,No,0.0,No,0.0,0.0,8.0,3.0,,Yes,Yes,1,Yes,Sometimes,Often,,3,Yes,No,0,3,29,male
0,6-25,0.0,1.0,Yes,Yes,No,No,I don't know,Somewhat easy,Physical health,No,0.0,No,0.0,1.0,3.0,1.0,"No, none of my previous supervisors",No,No,0,Yes,Not applicable to me,Not applicable to me,,2,No,No,0,3,46,Male
0,6-25,1.0,1.0,No,No,No,No,I don't know,Neither easy nor difficult,Physical health,No,0.0,Maybe,0.0,1.0,8.0,8.0,"No, none of my previous supervisors",No,No,0,No,Not applicable to me,Not applicable to me,Maybe,9,No,No,0,1,34,male
0,26-100,1.0,1.0,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Same level of comfort for each,Yes,1.0,Yes,1.0,1.0,7.0,5.0,Some of my previous supervisors,Yes,Yes,1,Yes,Rarely,Sometimes,No,7,Yes,Yes,1,4,29,Ostensibly Male
0,100-500,1.0,1.0,Yes,Yes,No,I don't know,I don't know,Somewhat easy,Same level of comfort for each,Yes,0.0,Yes,0.0,1.0,7.0,8.0,Some of my previous supervisors,No,Don't Know,0,No,Not applicable to me,Not applicable to me,No,8,Yes,Yes,0,3,55,male
0,More than 1000,1.0,1.0,Yes,Yes,No,No,I don't know,I don't know,Physical health,No,0.0,Maybe,0.0,0.0,4.0,4.0,,Yes,Don't Know,1,No,Often,Often,,6,Maybe,No,0,2,29,Agender
0,26-100,1.0,1.0,Not eligible for coverage / NA,,No,No,I don't know,I don't know,Physical health,No,0.0,Maybe,0.0,0.0,10.0,8.0,I don't know,Yes,Yes,1,I don't know,Sometimes,Often,No,8,Maybe,No,0,4,35,male
0,More than 1000,1.0,1.0,I don't know,No,No,No,No,I don't know,Physical health,No,1.0,No,0.0,0.0,10.0,0.0,Some of my previous supervisors,Possibly,Yes,0,Yes,Not applicable to me,Often,Yes,2,Maybe,No,0,1,33,"male, born with xy chromosoms"
0,More than 1000,0.0,1.0,Yes,No,No,Yes,I don't know,Somewhat difficult,Physical health,No,0.0,No,0.0,1.0,3.0,1.0,"No, none of my previous supervisors",Don't Know,Don't Know,0,No,Not applicable to me,Not applicable to me,Yes,5,Maybe,No,0,1,37,Male
